2023-06-10,CPA,2023-06-10,XDZ,2666,0,2017
2023-05-14,WRK,2023-05-14,FZU,1657,0,2016
2023-02-28,GLH,2023-02-28,IMY,1830,0,2016
2023-04-28,QKM,2023-04-28,IVN,1667,0,2016
2023-12-30,YVQ,2023-12-30,WWC,2062,1,2016
2023-12-23,SUD,2023-12-23,VVO,937,1,2016
2023-03-17,UNV,2023-03-17,HRW,1744,1,2017
2023-06-20,HPW,2023-06-20,GKM,306,0,2016
2023-01-14,GUB,2023-01-14,UQI,2398,0,2016
2023-06-05,ACG,2023-06-05,WLA,3094,1,2016
2023-03-17,EKO,2023-03-17,PWS,120,1,2016
2023-07-02,DRO,2023-07-02,VXP,1586,0,2016
2023-07-09,JZO,2023-07-09,UUN,2941,1,2017
2023-05-26,WFZ,2023-05-26,NFW,2907,1,2017
2023-06-19,FIY,2023-06-19,QXB,1213,0,2016
2023-08-10,GMM,2023-08-10,RTT,316,0,2016
2023-06-30,KWB,2023-06-30,JYM,1811,0,2016
2023-12-15,FPW,2023-12-15,PZY,609,1,2016
2023-05-01,BUR,2023-05-01,NFW,2116,0,2016
2023-11-12,NGW,2023-11-12,IMY,1781,0,2017
2023-09-15,UQV,2023-09-15,ELD,1412,0,2016
2023-01-06,MRB,2023-01-06,LSH,1764,1,2016
2023-04-03,DBN,2023-04-03,XKD,1947,0,2016
2023-11-01,UZL,2023-11-01,QVS,2198,0,2016
2023-11-16,JYM,2023-11-16,CPA,708,0,2016
2023-10-31,UUN,2023-10-31,ZXF,1068,1,2016
2023-08-19,UMK,2023-08-19,QAU,1211,1,2017
2023-07-27,BYV,2023-07-27,UZL,1064,1,2016
2023-03-22,TKX,2023-03-22,WVD,3096,0,2017
2023-08-21,QXB,2023-08-21,HWH,1367,1,2016
2023-09-14,XDZ,2023-09-14,PQJ,97,1,2017
2023-02-28,KOU,2023-02-28,ZMP,2522,0,2016
2023-05-21,EDB,2023-05-21,SUV,2541,0,2016
2023-07-19,MMW,2023-07-19,HOP,315,0,2016
2023-09-11,TIB,2023-09-11,LQA,2353,1,2017
2023-08-14,EPJ,2023-08-14,TMF,2319,1,2016
2023-05-08,VSK,2023-05-08,QJA,1737,1,2017
2023-03-13,HRW,2023-03-13,VXP,606,1,2017
2023-04-15,PQJ,2023-04-15,QUN,2549,0,2017
2023-08-09,YFB,2023-08-09,ZUE,2787,0,2016
2023-02-02,MMW,2023-02-02,PQJ,479,1,2016
2023-03-06,YVQ,2023-03-06,JYM,3455,1,2016
2023-06-08,LYQ,2023-06-08,HWZ,3394,0,2017
2023-09-16,TMF,2023-09-16,MFB,582,0,2017
2023-11-10,SZY,2023-11-10,LYQ,2460,1,2016
2023-09-25,YLV,2023-09-25,CAB,1395,1,2016
2023-11-07,SDM,2023-11-07,WRK,1457,1,2016
2023-09-08,JIK,2023-09-08,WNJ,1948,1,2016
2023-03-20,HHE,2023-03-20,KWI,1250,0,2016
2023-08-21,MHS,2023-08-21,YBM,2152,1,2016
2023-12-24,HTO,2023-12-24,LQA,3500,0,2016
2023-09-11,BUR,2023-09-11,HHE,1183,1,2017
2023-12-31,YQW,2023-12-31,UUN,2767,1,2017
2023-02-05,WFZ,2023-02-05,KGC,1030,0,2017
2023-07-17,PZY,2023-07-17,EYL,601,1,2016
